FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%)
51063,Virginia,Floyd,76.377302391,4.2515844871,5.8559167563,92.5,64.157706093,15.2,9.3978672675,20.5,35.4,5.0,114.80324,61164.0,83.952474056,100.0,2.0090567,0.5548823267,3.0103960712,92.384718413,3348.0,15.455669503,23.42319322,80.64370582,12.816072047,24.201971824,10.978342046,99.6714496446,6.4,15.3
51065,Virginia,Fluvanna,79.69255427,3.8652395234,5.8604950851,92.0,65.62979495,9.3,3.1577054632,22.2,37.7,6.0,112.43061,86462.0,88.410886743,63.943630959,14.594898461,1.0364696789,4.9891082847,76.287681821,7169.0,17.361111111,21.607605877,90.917959223,10.378732702,10.920448175,8.8677354709,99.8025216467,6.9,16.4
51067,Virginia,Franklin,75.660396237,4.3371746605,5.9170389466,86.0,58.560090703,15.9,7.944708326,20.7,36.3,19.0,122.41444,63692.0,79.710016011,90.06736788,7.8021206502,0.5994707375,3.8560550145,85.731516319,10584.0,19.185020336,39.716209629,80.875289094,17.864848537,15.085339923,11.141366009,99.4835896259,7.1,15.0
51069,Virginia,Frederick,78.454873015,3.9903098492,5.5327358061,,60.730729877,8.3,4.9745222134,22.6,36.1,42.0,102.08971,92108.0,78.02143398,39.409750708,4.6690418151,2.3282705169,13.109152655,77.512136175,23456.0,13.206886675,22.509084023,88.770458384,12.89578528,9.6163302772,10.359052712,97.6475261008,7.2,15.5
51071,Virginia,Giles,72.222818463,4.5662747793,5.9990780274,82.5,49.94600432,15.0,0.3608224444,24.0,36.7,8.0,42.53509,63384.0,78.874279805,100.0,1.768244516,0.5894148387,1.835085374,94.124080938,3704.0,15.393035507,30.194452273,80.543654897,22.303696914,24.026332861,9.9633699634,99.3736159443,6.6,18.4
51073,Virginia,Gloucester,76.073874132,4.1549333836,5.7221509523,87.0,60.749973138,11.0,1.5607259548,20.6,32.6,18.0,222.18339000000003,79016.0,79.835881146,72.571103821,7.5916818534,1.0035699129,4.5060788377,83.997803131,9307.0,14.327511839,30.166952534,88.849182715,12.83513976,10.486687151,9.375,99.9117245807,6.3,15.5
51075,Virginia,Goochland,80.187474873,3.5655265505,5.2591707047,96.0,73.666223657,8.2,2.3759452669,16.2,36.1,18.0,117.66004,122002.0,86.347747928,92.728596271,13.431628488,1.8752068243,3.879104313,78.839577895,5267.0,13.659741771,19.729573315,92.160191751,4.2763898267,17.882544198,8.7784241142,99.4965693638,7.0,11.1
51077,Virginia,Grayson,74.618904098,5.1659656701,6.4821628845,97.5,46.987587042,23.0,9.0421879288,28.7,39.7,2.0,52.338890000000006,42665.0,81.909061593,99.889128025,6.1890742558,0.2813215571,4.5011449133,87.268563952,3303.0,17.568517217,,78.652047727,22.213407378,,8.4288052373,99.0292580273,6.4,22.7
51079,Virginia,Greene,78.321247926,4.1116391356,5.7830587212,96.0,61.003397961,11.5,6.5224547755,22.5,35.8,5.0,117.36538,83927.0,79.575328615,100.0,7.4127975212,2.2815830243,7.7179475142,79.508004319,5003.0,12.785271367,25.720991544,90.912537917,11.521843495,12.769635771,10.285335103,98.2528735632,6.6,16.1
51081,Virginia,Greensville,71.413277771,4.8462389092,5.7355159053,,37.882156754,26.9,0.2504176815,28.8,43.1,4.0,89.82305000000001,53908.0,68.952134541,87.779826179,59.696398096,0.7814605228,3.000089823,35.004042037,3598.0,29.891270504,35.35338656,83.538163001,32.327586207,,11.773940345,99.6410492407,6.6,20.2
51083,Virginia,Halifax,72.078176027,4.8542596132,6.0350291283,82.0,53.91600454,27.3,10.348980343,26.6,39.6,13.0,125.62814,50813.0,70.562422292,78.211157486,34.553720986,0.6730078966,2.814668581,60.005384063,7048.0,23.889254446,47.517695392,66.24734879,24.790963767,19.521313725,13.032210292,99.6787574463,7.3,19.6
51085,Virginia,Hanover,77.873921062,3.5238346823,5.1782768515,93.0,76.955577952,5.8,3.9725359068,20.8,35.1,81.0,227.77447,111485.0,82.809673427,37.007064985,9.1871955707,2.663209167,4.1270981533,81.597575078,25798.0,13.322376448,27.944459635,91.183471389,5.5489964581,14.238565337,9.4889605557,99.590179379,7.4,14.7
51087,Virginia,Henrico,77.167415297,3.837977118,5.4419300412,88.0,75.051779728,12.3,4.7260929232,19.9,37.0,350.0,421.496,85877.0,64.618470638,3.6942004671,30.028677261,10.007169315,6.9826144103,50.119488589,93666.0,7.8591909352,33.856595844,91.797137147,9.479091538,13.844071216,14.260370664,97.5254361042,7.2,12.3
